# x_m,y_m (laser endpoints from GT-aligned scans, 10 cm dedupe)
16.80,140.00
16.80,140.10
16.80,140.20
16.80,140.30
16.90,140.00
22.60,133.50
22.60,133.60
22.70,133.30
22.70,133.40
22.70,133.50
22.70,133.60
22.80,133.20
22.80,133.30
22.80,133.40
22.80,133.60
22.90,132.90
22.90,133.10
22.90,133.20
22.90,133.30
23.00,132.70
23.00,132.80
23.00,132.90
23.00,133.00
23.00,133.10
23.10,132.50
23.10,132.60
23.10,132.70
23.10,132.80
23.10,132.90
23.10,133.00
23.10,133.40
23.10,133.50
23.20,132.30
23.20,132.40
23.20,132.50
23.20,132.60
23.20,132.70
23.20,132.80
23.20,132.90
23.20,133.00
23.20,133.10
23.20,133.40
23.20,141.60
23.30,132.10
23.30,132.20
23.30,132.30
23.30,132.40
23.30,132.50
23.30,132.80
23.30,132.90
23.30,133.40
23.40,132.00
23.40,132.10
23.40,132.20
23.40,132.30
23.40,132.40
23.40,133.40
23.40,133.50
23.50,132.00
23.50,132.10
23.50,132.20
23.50,133.50
23.60,131.60
23.60,131.90
23.60,132.10
23.60,133.50
23.60,133.60
23.70,132.00
23.70,133.60
23.80,130.90
23.80,131.00
23.80,131.10
23.80,133.60
23.80,133.70
23.90,130.70
23.90,130.80
23.90,130.90
23.90,131.00
23.90,131.10
23.90,133.70
24.00,130.60
24.00,130.70
24.00,130.80
24.00,133.70
24.00,133.80
24.00,134.30
24.00,134.40
24.10,130.30
24.10,130.40
24.10,130.50
24.10,130.60
24.10,130.70
24.10,131.90
24.10,134.10
24.10,143.30
24.20,130.10
24.20,130.20
24.20,130.30
24.20,130.40
24.20,130.50
24.20,132.50
24.20,132.60
24.20,132.70
24.20,132.80
24.20,133.80
24.20,133.90
24.20,134.00
24.20,134.10
24.20,134.30
24.30,129.90
24.30,130.00
24.30,130.10
24.30,131.90
24.30,132.00
24.30,132.60
24.30,132.70
24.30,132.80
24.30,134.20
24.30,134.30
24.40,129.80
24.40,129.90
24.40,131.70
24.40,131.80
24.40,131.90
24.40,132.70
24.40,134.00
24.40,143.40
24.50,129.70
24.50,129.80
24.50,131.90
24.50,132.90
24.50,133.90
24.50,134.00
24.50,134.10
24.50,134.20
24.60,129.80
24.60,133.90
24.60,134.00
24.60,134.10
24.60,134.20
24.60,134.60
24.70,129.40
24.70,129.50
24.70,129.60
24.70,129.80
24.70,133.90
24.70,134.00
24.70,134.10
24.70,134.20
24.70,134.60
24.70,134.70
24.70,143.60
24.80,129.30
24.80,129.50
24.80,129.80
24.80,129.90
24.80,133.90
24.80,134.00
24.80,134.10
24.80,134.20
24.80,134.30
24.80,134.60
24.80,134.70
24.80,134.80
